Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2006,2006-12-24,15,16,25.127,SEA,SDG,False,1,0,0,,0,0.0%,0.00,0,0,,0,5,107,21.40,0,5,19,3.80,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,False,False,17,20,Nate Burleson
2006,2006-12-31,16,17,25.134,SEA,TAM,False,2,1,5,5.00,0,50.0%,2.50,0,0,,0,2,46,23.00,0,3,44,14.67,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,23,7,Nate Burleson
2007,2007-09-09,1,1,26.021,SEA,TAM,False,3,2,41,20.50,0,66.7%,13.67,1,3,3.00,0,2,35,17.50,0,5,63,12.60,0,,0,0,0.0,,,,,,1,1,0,0,0,0,,,,,,,False,True,20,6,Nate Burleson
2007,2007-09-16,2,2,26.028,SEA,ARI,True,6,2,39,19.50,1,33.3%,6.50,0,0,,0,0,0,,0,2,30,15.00,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,20,23,Nate Burleson
2007,2007-09-23,3,3,26.035,SEA,CIN,True,12,6,76,12.67,1,50.0%,6.33,0,0,,0,0,0,,0,2,10,5.00,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,24,21,Nate Burleson
2007,2007-09-30,4,4,26.042,SEA,SFO,True,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,5,42,8.40,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,23,3,Nate Burleson
2007,2007-10-07,5,5,26.049,SEA,PIT,True,4,1,7,7.00,0,25.0%,1.75,0,0,,0,0,0,,0,4,40,10.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,0,21,Nate Burleson
2007,2007-10-14,6,6,26.056,SEA,NOR,True,13,6,63,10.50,1,46.2%,4.85,0,0,,0,0,0,,0,2,23,11.50,0,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,17,28,Nate Burleson
2007,2007-10-21,7,7,26.063,SEA,STL,True,6,1,12,12.00,0,16.7%,2.00,0,0,,0,2,117,58.50,1,6,59,9.83,0,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,33,6,Nate Burleson
2007,2007-11-04,8,9,26.077,SEA,CLE,True,7,4,59,14.75,0,57.1%,8.43,0,0,,0,4,75,18.75,0,2,95,47.50,1,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,30,33,Nate Burleson
