Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-11-11,9,10,26.170,SFO,STL,True,3,1,20,20.00,0,33.3%,6.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,58%,0,0%,0,0%,False,False,24,24,Mario Manningham
2012,2012-11-19,10,11,26.178,SFO,CHI,True,2,2,45,22.50,0,100.0%,22.50,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,42%,0,0%,0,0%,False,True,32,7,Mario Manningham
2012,2012-11-25,11,12,26.184,SFO,NOR,True,5,5,69,13.80,0,100.0%,13.80,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,40%,0,0%,0,0%,True,True,31,21,Mario Manningham
2012,2012-12-02,12,13,26.191,SFO,STL,True,6,5,37,7.40,0,83.3%,6.17,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,36%,0,0%,0,0%,True,False,13,16,Mario Manningham
2012,2012-12-09,13,14,,SFO,MIA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,27,13,Mario Manningham
2012,2012-12-16,14,15,,SFO,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,41,34,Mario Manningham
2012,2012-12-23,15,16,26.212,SFO,SEA,True,4,1,0,0.00,0,25.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,24,42%,0,0%,0,0%,True,False,13,42,Mario Manningham
2012,2012-12-30,16,17,,SFO,ARI,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,27,13,Mario Manningham
2013,2013-09-08,1,1,,SFO,GNB,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,34,28,Mario Manningham
2013,2013-09-15,2,2,,SFO,SEA,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,3,29,Mario Manningham
