Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2012,2012-10-25,8,8,27.218,MIN,,TAM,L 17-36,True,15,123,8.20,1,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,1,6,1,1,0,0,0,0,47,78%,0,0%,0,0%,False,Adrian Peterson
2012,2012-11-04,9,9,27.228,MIN,@,SEA,L 20-30,True,17,182,10.71,2,4,3,11,3.67,0,75.0%,2.75,0,0,,0,,2,12,0,0,0,0,0,0,41,76%,0,0%,0,0%,True,Adrian Peterson
2012,2012-11-11,10,10,27.235,MIN,,DET,W 34-24,True,27,171,6.33,1,4,3,5,1.67,0,75.0%,1.25,0,0,,0,1,1,8,0,0,0,0,0,0,61,87%,0,0%,0,0%,False,Adrian Peterson
2012,2012-11-25,11,12,27.249,MIN,@,CHI,L 10-28,True,18,108,6.00,0,7,6,30,5.00,0,85.7%,4.29,0,0,,0,,0,0,1,1,0,0,0,0,59,89%,0,0%,0,0%,True,Adrian Peterson
2012,2012-12-02,12,13,27.256,MIN,@,GNB,L 14-23,True,21,210,10.00,1,2,1,10,10.00,0,50.0%,5.00,0,0,,0,,1,6,0,0,0,0,0,0,45,82%,0,0%,0,0%,True,Adrian Peterson
2012,2012-12-09,13,14,27.263,MIN,,CHI,W 21-14,True,31,154,4.97,2,2,2,16,8.00,0,100.0%,8.00,0,0,,0,,2,12,1,0,0,0,0,0,44,77%,0,0%,0,0%,False,Adrian Peterson
2012,2012-12-16,14,15,27.270,MIN,@,STL,W 36-22,True,24,212,8.83,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,0,0,0,0,0,40,68%,0,0%,0,0%,True,Adrian Peterson
2012,2012-12-23,15,16,27.277,MIN,@,HOU,W 23-6,True,25,86,3.44,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,,0,0,0,0,0,0,0,0,51,69%,0,0%,0,0%,True,Adrian Peterson
2012,2012-12-30,16,17,27.284,MIN,,GNB,W 37-34,True,34,199,5.85,1,2,1,2,2.00,1,50.0%,1.00,0,0,,0,,2,12,0,0,0,0,0,0,58,84%,0,0%,0,0%,False,Adrian Peterson
2013,2013-09-08,1,1,28.171,MIN,@,DET,L 24-34,True,18,93,5.17,2,4,4,18,4.50,1,100.0%,4.50,0,0,,0,,3,18,0,0,0,0,0,0,50,91%,0,0%,0,0%,True,Adrian Peterson
2013,2013-09-15,2,2,28.178,MIN,@,CHI,L 30-31,True,26,100,3.85,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,,0,0,1,1,0,0,0,0,54,84%,0,0%,0,0%,True,Adrian Peterson
2013,2013-09-22,3,3,28.185,MIN,,CLE,L 27-31,True,25,88,3.52,1,6,6,27,4.50,0,100.0%,4.50,0,0,,0,,1,6,1,1,0,0,0,0,65,82%,0,0%,0,0%,False,Adrian Peterson
