Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-16,2.0,2.0,31.362,TEN,HOU,W 20-17,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,33%,False,Ryan Succop,True,20,17
2018.0,2018-09-23,3.0,3.0,32.004,TEN,JAX,W 9-6,False,,,,3,4,75.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,31%,True,Ryan Succop,True,9,6
2018.0,2018-09-30,4.0,4.0,32.011,TEN,PHI,W 26-23,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,32%,False,Ryan Succop,True,26,23
2018.0,2018-10-07,5.0,5.0,32.018,TEN,BUF,L 12-13,False,,,,4,4,100.0,0,12,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,38%,True,Ryan Succop,False,12,13
2018.0,2018-10-14,6.0,6.0,32.025,TEN,BAL,L 0-21,False,,,,,,,0,0,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,1,5%,False,Ryan Succop,False,0,21
2018.0,2018-10-21,7.0,7.0,32.032,TEN,LAC,L 19-20,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,39%,True,Ryan Succop,False,19,20
2018.0,2018-11-05,8.0,9.0,32.047,TEN,DAL,W 28-14,False,4,4,100.0,,1,0.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,50%,True,Ryan Succop,True,28,14
2018.0,2018-11-11,9.0,10.0,32.053,TEN,NWE,W 34-10,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,43%,False,Ryan Succop,True,34,10
2018.0,2018-11-18,10.0,11.0,32.06,TEN,IND,L 10-38,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,15%,True,Ryan Succop,False,10,38
2018.0,2018-11-26,11.0,12.0,32.068,TEN,HOU,L 17-34,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,23%,True,Ryan Succop,False,17,34
2018.0,2018-12-02,12.0,13.0,32.074,TEN,NYJ,W 26-22,False,2,3,66.7,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,30%,False,Ryan Succop,True,26,22
