Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2013,2013-09-08,1,1,27.035,DET,MIN,False,6,25,4.17,2,6,5,67,13.40,0,83.3%,11.17,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,28,35%,0,0%,8,24%,False,True,34,24,Joique Bell
2013,2013-09-15,2,2,27.042,DET,ARI,False,8,31,3.88,0,8,5,41,8.20,0,62.5%,5.13,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,59%,0,0%,7,22%,True,False,21,25,Joique Bell
2013,2013-09-22,3,3,27.049,DET,WAS,True,20,63,3.15,1,5,4,69,17.25,0,80.0%,13.80,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,79%,0,0%,1,3%,True,True,27,20,Joique Bell
2013,2013-09-29,4,4,27.056,DET,CHI,False,7,12,1.71,0,4,4,30,7.50,0,100.0%,7.50,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,31,47%,0,0%,2,6%,False,True,40,32,Joique Bell
2013,2013-10-06,5,5,27.063,DET,GNB,True,5,21,4.20,0,4,4,30,7.50,0,100.0%,7.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,48%,0,0%,10,38%,True,False,9,22,Joique Bell
2013,2013-10-13,6,6,27.070,DET,CLE,False,7,25,3.57,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,37%,0,0%,9,31%,True,True,31,17,Joique Bell
2013,2013-10-20,7,7,27.077,DET,CIN,True,5,27,5.40,0,4,3,29,9.67,0,75.0%,7.25,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,38%,0,0%,4,14%,False,False,24,27,Joique Bell
2013,2013-10-27,8,8,27.084,DET,DAL,False,4,32,8.00,1,1,1,22,22.00,0,100.0%,22.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,19,24%,0,0%,11,31%,False,True,31,30,Joique Bell
2013,2013-11-10,9,10,27.098,DET,CHI,False,10,41,4.10,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,48%,0,0%,9,36%,True,True,21,19,Joique Bell
2013,2013-11-17,10,11,27.105,DET,PIT,False,9,49,5.44,1,4,3,48,16.00,0,75.0%,12.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,32,44%,0,0%,6,17%,True,False,27,37,Joique Bell
